"index","UF","uf_sigla"
"1","Rondônia","RO"
"2","Acre","AC"
"3","Amazonas","AM"
"4","Roraima","RR"
"5","Pará","PA"
"6","Amapá","AP"
"7","Tocantins","TO"
"8","Maranhão","MA"
"9","Piauí","PI"
"10","Ceará","CE"
"11","Rio Grande do Norte","RN"
"12","Paraíba","PB"
"13","Pernambuco","PE"
"14","Alagoas","AL"
"15","Sergipe","SE"
"16","Bahia","BA"
"17","Minas Gerais","MG"
"18","Espírito Santo","ES"
"19","Rio de Janeiro","RJ"
"20","São Paulo","SP"
"21","Paraná","PR"
"22","Santa Catarina","SC"
"23","Rio Grande do Sul","RS"
"24","Mato Grosso do Sul","MS"
"25","Mato Grosso","MT"
"26","Goiás","GO"
"27","Distrito Federal","DF"
